Mnemonic,Ord.Mnemonic,Test,TestName,OrderingRecommendation,LOINC,SPECIMENREQUIREMENTS,SampleType,PreferredContainer,AlternateContainer,SampleVolume,HandlingInstructions,Transport,SpecimenStability,UnsuitableSpecimen,TESTING,Frequency,ExpectedTurnAround,ReferenceRange,ResponsibleDept,ReferralLab,NYSDOHApprovalStatus,CPT,Methodology,ADDITIONALINFORMATION,COMPLIANCESTATEMENT,TestCodes
EPI PROCOLON,,X700,EPI PROCOLON,"Test to screen adults of either sex, 50 years or older, defined as average risk for colorectal cancer, who have been offered and have a history of not completing colorectal cancer screening.",Epi proColon (65810-4), ,Plasma,"EDTA (Lavender Top) Tube, minimum of 10 mL",None,"7.0 mL of Plasma (3.5 mL minimum, does not allow for repeat testing)",1) Collect a minimum of 10 mL whole blood in EDTA (Lavender Top) tube.2) Separate plasma from whole blood within 4 hours of collection by centrifugation for 12 minutes at 1350 � 150 rcf.3) Transfer plasma to a fresh 15 mL conical tube taking care not to disturb the buffy coat and centrifuge for 12 min at 1350 � 150 rcf.4) Transfer plasma to a polypropylene tube for transport taking care not to disturb sedimentation at the bottom of the tube.,Frozen,Refrigerated: 3 Days; Frozen: 2 Weeks,"Ambient specimens. Hemolyzed samples. Serum, stool, or whole blood specimens.", ,"Tuesday, Thursday",7 - 10  Days,Negative,Molecular,,Approved,81327,Qualitative Real-Time Polymerase Chain Reaction (PCR) with a fluorescent hydrolysis probe for the methylation specific detection of the Septin 9 DNA target,Tests that are available and recommended in the USPSTF 2008 CRC screening guidelines should be offered and declined prior to offering the Epi proColon test. Patients with a positive Epi proColon test result should be referred for diagnostic colonoscopy. The Epi proColon test results should be used in combination with physician's assessment and individual risk factors in guiding patient management. Test NOT intended for use in pregnant women.,FDA cleared or approved assay,EPI PROCOLON INTERP
"EPSTEIN BARR VIRUS, EB VIRUS, EBV",,U630,EBV PCR QUANT,For quantitative detection of Epstein-Barr virus (EBV) in blood for evaluation of EBV-related disease.,"EBV PCR Quant (no LOINC defined at this time), EBV PCR Viral Log (no LOINC defined at this time), EBV PCR Quant Copies (32585-2), EBV PCR Log Copies (53774-6), Interpretation (5005-4), Source (31208-2)", ,"Whole Blood, Plasma or Serum ","Whole Blood or Plasma: EDTA (Lavender Top) Tube, Serum: Serum Separator Tube",None,"3.0 mL (0.6 mL minimum, does not allow for repeat testing)",Whole Blood: Refrigerate specimen after collection. Transport refrigerated.Plasma or Serum:  Collect specimen per tube manufacturer's instructions. Centrifuge sample and separate serum or plasma from cells ASAP. Aliquot and freeze. Transport frozen.,See Handling Instructions,Ambient: 3 Days; Refrigerated: 1 Week; Frozen: 2 Weeks,Heparinized specimens., ,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",1 - 4 Days,Not Detected,Molecular,,Not currently NYSDOH approved,87799,Quantitative Real-Time Polymerase Chain Reaction (PCR),"EBV viral load testing can aid in monitoring EBV-related disease in organ transplant recipients, especially patients lacking antibodies to EBV.  Patients who are at risk of developing or have already developed EBV-positive post-transplant lymphoproliferative disorders (PTLD) frequently have a significant increase in EBV viral load.  A study evaluating EBV viral burden in patients with evidence of PTLD reported an average four-fold increase in EBV viral load compared to immunosuppressed patients without evidence of PTLD.  While consensus on an acceptable EBV viral load cutoff for diagnosis of EBV-related disease is still not available, a rising EBV viral burden is an accepted risk for development of PTLD.  Definite diagnosis of PTLD is made by histologic evaluation of a tissue biopsy; however regularly monitoring of EBV viral load in whole blood, plasma or serum samples can aid in early detection of PTLD.  The majority of EBV-positive PTLD occurs in the first year post-transplantation and high-risk patients may be monitored frequently during the initial phase of the post-transplantation period. The quantitative range of the EBV PCR assay is 2.7 log IU/mL (500 IU/mL) to 6.7 log IU/mL (5,000,000 IU/mL).  Samples in which virus is detected below the limit of quantitation are reported as 'Detected' without a reported quantity.  EBV viral load test results are reported in International Units per milliliter (IU/mL) and copies/mL as wells as log transformed values.  Results may not be comparable to results generated by other methodologies not calibrated to international standards (IU/mL).  This test is not recommended for diagnosis of suspected primary EBV infections in immunocompetent patients.  In immunocompetent patients, antibody testing is recommended when laboratory diagnosis is required for patient management.",This test was developed and its performance characteristics determined by Sonic Reference Laboratory (SRL). Analyte specific reagents are used. The test has not been cleared or approved by the U.S. Food and Drug Administration (FDA). The FDA has determined that such clearance or approval is not necessary. The results are not intended to be used as the sole means for clinical diagnosis or patient management. This test should not be regarded as investigational or for research use. SRL is qualified to perform high complexity testing under the Clinical Laboratory Improvement Amendments (CLIA).,"EBV PCR QUANT IU/ML,EBV PCR QUANT LOG,EBV QUANT COPY/ML,EBV QUANT LOG COPY/ML,EBV QUALITATITIVE INT,EBV PCR SOURCE"
"ESTIMATED GLOMERULAR FILTRATION RATE, eGFR, CYSTATIN C W/ eGFR",,E394,CYSTATIN C WITH eGFR,Useful in assessing glomerular filtration rate as an alternative to serum creatinine.,"Cystatin C (33863-2), eGFR by Cystatin C (50210-4)", ,Serum,Serum Separator Tube,Plain Red Top Tube,1.0 mL of Serum,Collect specimen per tube manufacturer's instructions. Centrifuge sample and separate serum from cells ASAP. Aliquot and refrigerate.,Refrigerated,Ambient: 1 Week; Refrigerated: 1 Week; Frozen: 1 month,Hemolyzed specimens., ,"Monday, Tuesday, Wednesday, Thursday, Friday",1 - 2 Days,Cystatin C:0-4 months: 1.0 - 2.9 mg/L4-12 months: 0.9 - 1.9 mg/L1-17 years: 0.6 - 1.6 mg/L>17 years: 0.6 - 1.2 mg/LeGFR:>59 mL/min/BSA,Core Laboratory,,Approved,82610,Particle Enhanced Immunoturbidimetric,"Cystatin C is a low molecular weight cysteine protease inhibitor eliminated from the circulation almost entirely by glomerular filtration in the kidneys.  Cystatin C serum concentration is inversely correlated with glomerular filtration rate (GFR).  GFR describes the filtration rate of fluids through the kidneys per unit time and is utilized as an index of overall kidney function.  Measurement or estimation of GFR is essential in monitoring patients with kidney disease and dosing drugs that are excreted by the kidneys.  Most commonly GFR is estimated with equations incorporating serum concentration of creatinine.  However creatinine concentration is influenced by other factors including muscle mass, diet, and tubular secretion.  For these reasons, GFR estimates using creatinine are misleading in some populations.  Several studies suggest cystatin C is superior to serum creatinine for estimating GFR due to minimal effects of the above factors on serum cystatin C concentration.  The equation used to estimate GFR was developed by the Chronic Kidney Disease Epidemiology Collaboration (CKD-EPI 2012) utilizing collaborative data traceable to IFCC and IRMM certified reference materials from 13 clinical research studies with 5352 participants. The estimated GFR calculation is appropriate for adult (age >17 years) patients only.CKD-EPI Cystatin C Equation:If serum Cystatin C is less than or equal to 0.8 mg/L:133 x (Scys/0.8)^(-0.499) x 0.996^(AGE)[x 0.932 if female]If serum Cystatin C is greater than 0.8 mg/L:133 x (Scys/0.8)^(-1.328) x 0.996^(AGE)[x 0.932 if female]",FDA cleared or approved assay,"CYSTATIN C,eGFR"
"ESTRADIOL, E2",,E491,ESTRADIOL,,Estradiol (35384-7), ,Serum or Plasma,Serum Separator Tube,EDTA (Lavender Top) Tube or Heparin (Green Top) Tube,"2.0 mL (0.5 mL minimum, does not allow for repeat testing)",Collect specimen per tube manufacturer's instructions. Centrifuge sample and separate serum or plasma from cells within 2 hours. Aliquot and refrigerate.,Refrigerated,Ambient: 2 Days; Refrigerated: 7 Days; Frozen: 1 Month,Grossly hemolyzed specimens, ,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",1 - 4 Days,Age and gender specific reference ranges will be applied per report,Analytical Chemistry,,Approved,82670,Liquid Chromatography/Tandem Mass Spectrometry (LC-MS/MS),,This test was developed and its performance characteristics determined by Sonic Reference Laboratory (SRL). It has not been cleared or approved by the U.S. Food and Drug Administration (FDA). The FDA has determined that such clearance or approval is not necessary. This test is used for clinical purposes and should not be regarded as investigational or for research. SRL is qualified to perform high complexity testing under the Clinical Laboratory Improvement Amendments (CLIA).,ESTRADIOL
"ESTROGENS FRACTIONATED, TOTAL ESTROGEN",,E494,ESTROGENS FRACTIONATED,,"Estradiol (35384-7), Estrone (2258-2), Estrogens Total (53765-4)", ,Serum or Plasma,Serum Separator Tube,EDTA (Lavender Top) Tube or Heparin (Green Top) Tube,"2.0 mL (0.5 mL minimum, does not allow for repeat testing)",Collect specimen per tube manufacturer's instructions. Centrifuge sample and separate serum or plasma from cells within 2 hours. Aliquot and refrigerate.,Refrigerated,Ambient: 2 Days; Refrigerated: 7 Days; Frozen: 1 Month,Grossly hemolyzed specimens, ,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",1 - 4 Days,Age and gender specific reference ranges will be applied per report,Analytical Chemistry,,Approved,82671,Liquid Chromatography/Tandem Mass Spectrometry (LC-MS/MS),,This test was developed and its performance characteristics determined by Sonic Reference Laboratory (SRL). It has not been cleared or approved by the U.S. Food and Drug Administration (FDA). The FDA has determined that such clearance or approval is not necessary. This test is used for clinical purposes and should not be regarded as investigational or for research. SRL is qualified to perform high complexity testing under the Clinical Laboratory Improvement Amendments (CLIA).,"ESTRADIOL,ESTRONE,ESTROGENS TOTAL"
"ESTRONE, E1",,E489,ESTRONE,,Estrone (2258-2), ,Serum or Plasma,Serum Separator Tube,EDTA (Lavender Top) Tube or Heparin (Green Top) Tube,"2.0 mL (0.5 mL minimum, does not allow for repeat testing)",Collect specimen per tube manufacturer's instructions. Centrifuge sample and separate serum or plasma from cells within 2 hours. Aliquot and refrigerate.,Refrigerated,Ambient: 2 Days; Refrigerated: 7 Days; Frozen: 1 Month,Grossly hemolyzed specimens, ,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",1 - 4 Days,Age and gender specific reference ranges will be applied per report,Analytical Chemistry,,Approved,82679,Liquid Chromatography/Tandem Mass Spectrometry (LC-MS/MS),,This test was developed and its performance characteristics determined by Sonic Reference Laboratory (SRL). It has not been cleared or approved by the U.S. Food and Drug Administration (FDA). The FDA has determined that such clearance or approval is not necessary. This test is used for clinical purposes and should not be regarded as investigational or for research. SRL is qualified to perform high complexity testing under the Clinical Laboratory Improvement Amendments (CLIA).,ESTRONE
FACTOR V LEIDEN,,I600,FACTOR V LEIDEN,,Factor V Leiden (21668-9), ,Whole Blood,EDTA (Lavender Top) Tube,None,5.0 mL,Refrigerate specimen after collection.,Refrigerated,Ambient: 3 Days; Refrigerated: 1 Week,Heparizined specimens., ,"Monday, Tuesday, Wednesday, Thursday, Friday",3 - 5 Days,Negative/Wild Type,Molecular,,Approved,81241,Polymerase chain reaction (PCR)/Melting curve analysis,,FDA cleared or approved assay,FACTOR V LEIDEN
"FACTOR VIII ACTIVITY, VWF VIII ACTIVITY, VON WILLEBRAND FACTOR VIII ACTIVITY",,I460,FACTOR VIII ACTIVITY,,Factor VIII Activity (49865-9), ,Platelet Poor Plasma,Citrate (Light Blue Top) Tube,None,1.0 - 2.0 mL,"CRITICAL FROZEN. Recommend drawing 1 light blue top tube to obtain approximately 1-2mL of platelet poor plasma (PPP). The tube must be properly filled, as the appropriate ratio of blood to anticoagulant is critical to testing. Spin sample ASAP at 2000-2500 x g for 15 minutes (or per tube manufacturer's PPP collection instructions) and aliquot, being careful not to touch the buffy coat layer (remove approximately the top 3/4 of plasma).  Spin again and aliquot (again avoiding the buffy coat) into 1-2 plastic vials and immediately freeze aliquots.  NOTE: It is required that plasma be rendered platelet free (<10x10^9/L) by double centrifugations prior to freezing.  Once frozen, do not thaw and refreeze.   Test results are a direct reflection of sample integrity.Note: Storage of whole blood at refrigerated temperatures prior to processing may lead to cryoprecipitate formation and falsely low Factor VIII and von Willebrand Factor studies.",Frozen,Frozen: 1 Month,"Ambient or refrigerated specimen. Aliquots with visible red cells, hemolysis, or clots.", ,"Monday, Wednesday, Friday",2 - 3 Days,60-168%,Core Laboratory,,Approved,85240,Chromogenic Assay,"If the patient's hematocrit is above 55%, the amount of sodium citrate in the collection tube must be decreased because of decreased plasma volume. Please refer to the following instructions from BD for details on handling these samples: http://www.bd.com/vacutainer/pdfs/techtalk/TechTalk_May2005_VS7433.pdf ",FDA cleared or approved assay,FACTOR VIII ACTIVITY
FRAGILE X WITH REFLEX TO METHYLATION,,W199,FRAGILE X W/ METHYL,"Test for determination of carrier status of Fragile X or for diagnosis of Fragile X, Fragile X tremor/ataxia syndrome, or premature ovarian failure due to expansions in FMR1 gene.","Result (36913-2), Allele 1 (45321-7), Allele 2 (45322-5), Methylation (41107-4)HGVS Nomenclature", ,Whole Blood,EDTA (Lavender Top) Tube,None,5.0 mL,Refrigerate specimen after collection.,Refrigerated,Ambient: 3 Days; Refrigerated: 1 Month; Frozen: 1 Month,Heparinized specimens., ,Tuesday,6 - 8 Days,Reference ranges will be applied per report,Molecular,,Not currently NYSDOH approved,81243; 81244 added if reflexed,Polymerase chain reaction (PCR) followed by capillary electrophoresis for sizing. Methylation-specific PCR analysis to confirm FMR1 expansions on CGG repeat lengths of 55 or greater.,Alternate Sample Type: Purified DNASample Quantity: 50 킠 at 50 ng/킠 (Minimum of 25 킠 at a minimum concentration of 20 ng/킠)Specimen Stability: Ultra-frozen: 45 Days,This test has components designated by the manufacturer as 'For Research Use Only'. The performance characteristics of this test were determined by Sonic Reference Laboratory (SRL). The components have not been cleared or approved by the U.S. Food and Drug Administration (FDA). The test results are not intended to be used as the sole means for clinical diagnosis or patient management. SRL is qualified to perform high complexity testing under the Clinical Laboratory Improvement Amendments (CLIA).,"FRAG X SCREEN RSLT,ALLELE 1 METH,ALLELE 2 METH,METHYLATION PATTERN,NOMENCLATURE HGSV"
"FREE TESTOSTERONE ADULT MALE, FREE TESTOSTERONE",,E511,FREE TESTOSTERONE ADULT MALE,,"Testosterone (2986-8), SHBG (13967-5), Testoster Free Calc (2991-8), Testosterone % Free (15432-8)", ,Serum,Serum Separator Tube,Plain Red Top Tube,2.0 mL,"Collect specimen per tube manufacturer's instructions. Centrifuge sample and separate serum from cells ASAP. Aliquot and freeze. Maintain sample frozen, do not thaw and refreeze.",Frozen,Refrigerated: 1 Week; Frozen: 1 Month,"Grossly hemolyzed specimen, heat-inactivated samples, samples stabilized with azide.", ,"Monday, Tuesday, Wednesday, Thursday, Friday",1 - 2 Days,Age and gender specific reference ranges will be applied per report,Core Laboratory,,Approved,"84403, 84270",Electrochemiluminescence Immunoassay (ECLIA),**Test is intended for ADULT MALES. Analytic measurement range may not be adequate for low testosterone levels (<12 ng/dL) in female and young male patients**Samples should not be taken from patients receiving therapy with high biotin doses (i.e. >5mg/day) until at least 8 hours following the last biotin administration. DO NOT collect sample from patients receiving Nandrolone treatment. Reference intervals are based on early morning testosterone levels.,FDA cleared or approved assay,"TESTOSTERONE,SEX HORMONE BINDING,TESTOSTERONE FR CALC,TESTOSTERONE %FREE"
